index,SMILES,PCE
57,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(C2=C(OCC(CC)CCCC)C(/C=C/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)=CS2)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(C3=C(OCC(CC)CCCC)C(/C=C/C=C4\C(=O)C5=C(C=C(F)C(F)=C5)C4=C(C#N)C#N)=CS3)=C2)C=C1,8.44
58,CCCCC(CC)CC1(CC(CC)CCCC)C2=C(SC(/C=C3\C(=O)C4=CC(F)=C(F)C=C4C3=C(C#N)C#N)=C2)C2=C1C=C(C1=C(C)/C(=C(\C3=CC=CC=C3)C3=C(C)C(C4=CC5=C(S4)C4=C(C=C(/C=C6\C(=O)C7=CC(F)=C(F)C=C7C6=C(C#N)C#N)S4)C5(CC(CC)CCCC)CC(CC)CCCC)=C(C)N3B(F)F)N=C1C)S2,9.22
59,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(C(C4=CC=C(CCCCCC)C=C4)(C5=CC=C(CCCCCC)C=C5)C6=C7SC8=C6SC9=C8C(C%10=CC=C(CCCCCC)C=C%10)(C%11=CC=C(CCCCCC)C=C%11)C%12=C9SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%12)=C7S3,12.62
60,CCCCCCC(CCCCCC)N1C(=O)C2=CC=C3C4=CC=C5C(=O)N(C(CCCCCC)CCCCCC)C(=O)C6=CC(C7=CC=C(C8=C9SC(C%10=C%11C%12=CC=C%13C(=O)N(C(CCCCCC)CCCCCC)C(=O)C%14=CC=C(C%15=CC=C%16C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(=C%10)C%16=C%15%11)C%12=C%14%13)=CC9=C(C9=CC=C(C%10=C%11C%12=CC=C%13C(=O)N(C(CCCCCC)CCCCCC)C(=O)C%14=C%13C%12=C(C=C%14)C%12=C%11C%11=C(C=C%12)C(=O)N(C(CCCCCC)CCCCCC)C(=O)C%11=C%10)S9)C9=C8C=C(C8=C%10C%11=CC=C%12C(=O)N(C(CCCCCC)CCCCCC)C(=O)C%13=C%12C%11=C(C=C%13)C%11=CC=C%12C(=O)N(C(CCCCCC)CCCCCC)C(=O)C(=C8)C%12=C%11%10)S9)S7)=C(C7=CC=C(C1=O)C2=C37)C4=C56,5.6
61,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC4=C(C5=CC(C6(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)=C(C9=C6C(SC(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C%12)=C%12S9)C=C5C4(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14)S3,10.5
62,O=C(C1=C(C)SC=C1C/2=C(C#N)\C#N)C2=C/C3=CC4=C(S3)C5=C(C6=C(C7=CC=C(CC(CC)CCCC)S7)C8=C(C9=C(S8)C(SC(/C=C%10C(C%11=C(C)SC=C%11C\%10=C(C#N)/C#N)=O)=C%12)=C%12C9(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14)C(C%15=CC=C(CC(CC)CCCC)S%15)=C6S5)C4(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17,13.15
63,CCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC(C1=C(N(C3=CC=C(CCCC)C=C3)C3=CC=C(CCCC)C=C3)C3=C(S1)C(N(C1=CC=C(CCCC)C=C1)C1=CC=C(CCCC)C=C1)=C(C1=CC4=C(S1)C(CCCCCCCC)=C(/C=C1\C(=O)C5=C(C=C(F)C(F)=C5)C1=C(C#N)C#N)S4)S3)=C2,14.53
64,CCCCCCOC1=C(/C=C2\C(=O)C3=C(C=CC=C3)C2=C(C#N)C#N)SC(C2=CC3=C(S2)C2=CC4=C(C=C2C3(C2=CC=C(CCCCCC)C=C2)C2=CC=C(CCCCCC)C=C2)C2=C(C=C(C3=C(OCCCCCC)C(OCCCCCC)=C(/C=C5\C(=O)C6=C(C=CC=C6)C5=C(C#N)C#N)S3)S2)C4(C2=CC=C(CCCCCC)C=C2)C2=CC=C(CCCCCC)C=C2)=C1OCCCCCC,8.87
65,CCCCCCCCOC1=CC(C2=CC3=C(S2)C2=C(C=C(/C=C4\C(=O)C5=CC=CC=C5C4=C(C#N)C#N)S2)C3(CC(CC)CCCC)CC(CC)CCCC)=C(OCCCCCCCC)C=C1C1=CC2=C(S1)C1=C(C=C(/C=C3\C(=O)C4=CC=CC=C4C3=C(C#N)C#N)S1)C2(CC(CC)CCCC)CC(CC)CCCC,9.41
66,CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCCCC)CCCCCCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCCCC)CCCCCCCCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,15.6
67,CCCCCCC1=CC=C2C(=C1)C1=C(C=CC(CCCCCC)=C1)C21C2=CC3=C(C=C2C2=C1C=C(C1=C(SCC(CC)CCCC)C(/C=C4\C(=O)C5=C(C=C(F)C(F)=C5)C4=C(C#N)C#N)=CS1)S2)C1(C2=CC=C(CCCCCC)C=C2C2=C1C=CC(CCCCCC)=C2)C1=C3SC(C2=C(SCC(CC)CCCC)C(/C=C3\C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)=CS2)=C1,13.72
68,CCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C4C=C(F)C=CC4=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C4C=C(F)C=CC4=C3)C2=C(C#N)C#N)=C1CCCCCCCCC,15.5
69,CCCCCCCCOC(=O)C1=CC2=C(C3=CC4=C(S3)C3=CC5=C(C=C3C4(C3=CC=CC(CCCCCC)=C3)C3=CC=CC(CCCCCC)=C3)C3=C(C=C(C4=C6C=C(C(=O)OCCCCCCCC)SC6=C(/C=C6\SC(=C(C#N)C#N)N(CC)C6=O)S4)S3)C5(C3=CC=CC(CCCCCC)=C3)C3=CC(CCCCCC)=CC=C3)SC(/C=C3\SC(=C(C#N)C#N)N(CC)C3=O)=C2S1,8.22
70,CCCCCCCCOC1=C(C2=CC3=C(S2)C2=C(C=C(/C=C4\C(=O)C5=C(C=C(F)C(F)=C5)C4=C(C#N)C#N)S2)N3C(CCCCCCCC)CCCCCCCC)C2=NSN=C2C(C2=CC3C(S2)C2=C(C=C(/C=C4\C(=O)C5=C(C=C(F)C(F)=C5)C4=C(C#N)C#N)S2)N3C(CCCCCCCC)CCCCCCCC)=C1OCCCCCCCC,5.55
71,CCCCCCC(CCC)CC1(CC(CCC)CCCCCC)C2=C(SC(/C=C3\C(=O)C4=C(C=CC=C4)C3=C(C#N)C#N)=C2)C2=C1C=C(C1=CC3=C(S1)C1=C(C=C(C4=CC5=C(S4)C4=C(C=C(/C=C6\C(=O)C7=C(C=CC=C7)C6=C(C#N)C#N)S4)C5(CC(CCC)CCCCCC)CC(CCC)CCCCCC)S1)C1=NSN=C13)S2,12.71
72,CCCCC(CC)CN1C(=O)C2=CC=C3C4=C(C=CC(=C24)C1=O)C1=C2C4=C(C=C1)C(=O)N(CC(CC)CCCC)C(=O)C4=CC(C1=CC4=C(C=C1)C1=C(C=C(C5=C6C7=CC=C8C(=O)N(CC(CC)CCCC)C(=O)C9=C8C7=C(C=C9)C7=C6C6=C(C=C7)C(=O)N(CC(CC)CCCC)C(=O)C6=C5)C=C1)C41C4=C(C=CC(C5=C6C7=CC=C8C(=O)N(CC(CC)CCCC)C(=O)C9=C8C7=C(C=C9)C7=C6C6=C(C=C7)C(=O)N(CC(CC)CCCC)C(=O)C6=C5)=C4)C4=C1C=C(C1=C5C6=CC=C7C(=O)N(CC(CC)CCCC)C(=O)C8=C7C6=C(C=C8)C6=C5C5=C(C=C6)C(=O)N(CC(CC)CCCC)C(=O)C5=C1)C=C4)=C32,5.34
73,CCCCCCCCC1(CCCCCCCC)C2=CC3=C(C=C2C2=C1C1=C(C=C(/C=C4\C(=O)C5=C(C=C(F)C(F)=C5)C4=C(C#N)C#N)S1)S2)C(CCCCCCCC)(CCCCCCCC)C1=C3SC2=C1SC(/C=C1\C(=O)C3=C(C=C(F)C(F)=C3)C1=C(C#N)C#N)=C2,11.53
74,CCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)=C1CCCCCCCC,11.97
75,CCCCCCCCCCC(CCCC)COC1=C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC(C2=CC3=C(S2)C2=C(C4=C(C5=NSN=C52)C2=C(C=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S2)N4CC(CCC)CCCCCCCC)N3CC(CCC)CCCCCCCC)=C1,14.06
76,CCCCCCCCC(CCCCCCCC)N1C2=C(C=CC(C3=CC=C(/C=C4\C(=O)C5=CSC=C5C4=C(C#N)C#N)O3)=C2)C2=C1C=C(C1=CC=C(/C=C3\C(=O)C4=CSC=C4C3=C(C#N)C#N)S1)C=C2,2.7
77,CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NN(CC(CC)CCCC)N=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,16.54
78,CCCCCCCCC(CCCCCCCC)N1C2=C(SC(/C=C3\C(=O)C4=C(C=C(Cl)C(Cl)=C4)C3=C(C#N)C#N)=C2)C2=C1C=C(C1=C(OC(CCCC)CCCCCC)C=C(C3=CC(CCCCCC)=C(/C=C4\C(=O)C5=CC(Cl)=C(Cl)C=C5C4=C(C#N)C#N)S3)C(OC(CCCC)CCCCCC)=C1)S2,12.59
79,CCCCCCCCC(CCCCCC)CN1C2=C(SC3=C2SC(/C=C2\C(=O)C4=CC(F)=C(F)C=C4C2=C(C#N)C#N)=C3CCCCCCC)C2=C1C1=C(C3=NSN=C32)C2=C(C3=C(S2)C(CCCCCCC)=C(/C=C2\CC4=CC(F)=C(F)C=C4C2=C(C#N)C#N)S3)N1CC(CCCCCC)CCCCCCCC,16.81
80,O=C(C(C=CC(F)=C1)=C1C/2=C(C#N)\C#N)C2=C/C=C/C3=CC4=C(C5=C(C4(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)C=C(C8=C9C=C(/C=C/C=C%10C(C(C=C(F)C=C%11)=C%11C\%10=C(C#N)/C#N)=O)S8)C(C9(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)=C5)S3,11.2
81,CCCCC(CC)CC1(CC(CC)CCCC)C2=CC3=C(C=C2C2=C1C=C(C1=CC=C(/C=C4\C(=O)C5=C(C=C(F)C(F)=C5)C4=C(C#N)C#N)[Se]1)S2)C(CC(CC)CCCC)(CC(CC)CCCC)C1=C3SC(C2=CC=C(/C=C3\C(=O)C4=C(C=C(F)C=C4)C3=C(C#N)C#N)[Se]2)=C1,10
82,O=C(C(C=CC(C)=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC4=C(C5=CC(C6(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)=C(C9=C6C(SC(/C=C%10C(C%11=C(C=CC(C)=C%11)C\%10=C(C#N)\C#N)=O)=C%12)=C%12S9)C=C5C4(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14)S3,11.2
83,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C2=C(S3)C3=C(C=C(/C=C5\C(=O)C6=C(C=CC=C6)C5=C(C#N)C#N)S3)S2)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC3=C2SC2=C3SC(CC3C(=O)C4=C(C=CC=C4)C3=C(C#N)C#N)=C2)C=C1,7.7
84,CCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NN(CC(C)C)N=C1C1=C2N(CC(CC)CCC)C2=C1SC1=C2SC(/C=C2/C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCC,17.11
85,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(SC(/C=C4\C(=O)C5=C(C=CC(O)=C5)C4=C(C#N)C#N)=C3)C3=CC=C4C(=C32)C=CC2=C4C(C3=CC=C(CCCCCC)C=C3)(C3=CC=C(CCCCCC)C=C3)C3=C2SC(/C=C2\C(=O)C4=C(C=CC(F)=C4)C2=C(C#N)C#N)=C3)C=C1,6.5
86,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC4=C(S3)C5=C(C6=C(C7=CC=C(CC(CC)CCCC)S7)C(S8)=C(C9=C8C(SC(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)/C#N)=O)=C%12)=C%12C9(C%13=CC=CC=C%13)C%14=CC=CC=C%14)C(C%15=CC=C(CC(CC)CCCC)S%15)=C6S5)C4(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17,9.13
87,CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CCC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CCC(CC)CCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,16.532
88,CCCCC(CC)CC1(CC(CC)CCCC)C2=C(SC(/C=C3\C(=O)C4=CC(F)=C(F)C=C4C3=C(C#N)C#N)=C2)C2=C1C=C(C1=CC3=C(S1)C1=C(C=C(/C=C4\C(=O)C5=CC(F)=C(F)C=C5C4=C(C#N)C#N)S1)C3(CC(CC)CCCC)CC(CC)CCCC)S2,4.47
89,CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CCC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CCC(CC)CCCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,15.98
90,CCCCCCC(CCCCCC)N1C(=O)C2=CC=C3C4=CC=C5C(=O)N(C(CCCCCC)CCCCCC)C(=O)C6=CC7=C(C8=C(C=C(C1=O)C2=C38)C1=C7C2=C(S1)C1=C(SC3=C7C=C8C(=O)N(C(CCCCCC)CCCCCC)C(=O)C9=CC=C%10C%11=CC=C%12C(=O)N(C(CCCCCC)CCCCCC)C(=O)C%13=CC(=C31)C(=C7C%10=C98)C%11=C%12%13)C1=C2SC2=C3C=C7C(=O)N(C(CCCCCC)CCCCCC)C(=O)C8=CC=C9C%10=CC=C%11C(=O)N(C(CCCCCC)CCCCCC)C(=O)C%12=CC(=C21)C(=C3C9=C87)C%10=C%11%12)C4=C56,7.9
91,CCCCCCCCCCCCN1C(=O)C2=CC=CC3=C2C(=CC=C3C2=CC=C(C3=CC=C4C(=O)N(CCCCCCCCCCCC)C(=O)C5=CC=CC3=C54)S2)C1=O,1.91
92,CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=CC(Br)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(Br)C=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,15.23
93,CCCCCCC1=C(SC(/C(C2=CC=CN2B(F)F)=C3C=CC=N\3)=C1)C4=CC5=C(C(C6=CC=C(S6)CC(CCCC)CC)=C7C=C(SC7=C5C8=CC=C(S8)CC(CCCC)CC)C9=C(C=C(S9)/C(C%10=CC=CN%10B(F)F)=C%11C=CC=N\%11)CCCCCC)S4,1.21
94,CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(C)C)C2=C1C1=NSN=C1C1=C2N(CC(CCCCCCCC)CCCCCCCCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,17.37
95,CCCCCCCCN1C2=C(SC(/C=C3\C(=O)C4=CC(F)=C(F)C=C4C3=C(C#N)C#N)=C2)C2=C1C1=C(S2)C2=CC3=C(C=C2C1(C1=CC=C(OCCCCCC)C=C1)C1=CC=C(OCCCCCC)C=C1)C1=C(C2=C(S1)C1=C(C=C(/C=C4\C(=O)C5=CC(F)=C(F)C=C5C4=C(C#N)C#N)S1)N2CCCCCCCC)C3(C1=CC=C(OCCCCCC)C=C1)C1=CC=C(OCCCCCC)C=C1,10.6
96,CCCCCCC(CCCC)CN1C(=O)/C(=C/C2=CC=C(C3=CC=C(C4=CC=C(/C=C5\SC(=S)N(CC(CCCC)CCCCC)C5=O)S4)C4=NSN=C34)S2)SC1=S,5.97
97,CCCCCCOC1=CC=C(C2(C3=CC=C(OCCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C2=C(C=C(/C=C5/C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S2)S3)C(C2=CC=C(OCCCCCC)C=C2)(C2=CC=C(OCCCCCC)C=C2)C2=C4SC3=C2SC(/C=C2/C(=O)C4=C(C=CC(F)=C4)C2=C(C#N)C#N)=C3)C=C1,13.4
98,CCCCCCCCN1C2=C(SC(/C=C3\C(=O)C4=CC(F)=CC=C4C3=C(C#N)C#N)=C2)C2=C1C1=C(S2)C2=C(C=C3C(=C2)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C3SC3=C2SC=C3/C=C2\C(=O)C3=C(C=CC(F)=C3)C2=C(C#N)C#N)C1(C1=CC=C(CCCCCC)C=C1)C1=CC=C(CCCCCC)C=C1,11.4
99,CCCCCCC1=CC=C(C2=NC3=C(N=C2C2=CC=C(CCCCCC)C=C2)C(C2=CC4=C(S2)C2=C(C=C(/C=C5\C(=O)C6=C(C=CC=C6)C5=C(C#N)C#N)S2)C4(CC(CC)CCCC)CC(CC)CCCC)=C(F)C(F)=C3C2=CC3=C(S2)C2=C(C=C(/C=C4\C(=O)C5=C(C=CC=C5)C4=C(C#N)C#N)S2)C3(CC(CC)CCCC)CC(CC)CCCC)C=C1,7.9
100,CCCCCCC1=C(C2=CC=C3C(=C2)N(CCCCCC)C2=C3N(CCCCCC)C3=C2C=CC(C2=C(CCCCCC)C=C(C4=C(CCCCCC)C=C(C=C(C#N)C#N)S4)S2)=C3)SC(C2=C(CCCCCC)C=C(C=C(C#N)C#N)S2)=C1,6.16
101,CCCCCCCCC1(CCCCCCCC)C2=CC(C3=CC4=C5C(=CC6=C7C8=C9C(=CC=C%10C(=O)N(C(CCCCC)CCCCC)C(=O)C(=C%109)C=C8C8=C6C6=CC9=C%10C(=CC=C%11C%12=C%13C%14=C(C=C%12)C(=O)N(C(C)CCCCC)C(=O)C%14=CC8=C%13C6=C%11%10)C(=O)N(C(CCCCC)CCCCC)C9=O)C3=C57)C(=O)N(C(CCCCC)CCCCC)C4=O)=CC=C2C2=C1C=C(C1=C3C4=C5C6=C(C=C4)C(=O)N(C(CCCCC)CCCCC)C(=O)C6=CC4=C5C5=C3C3=C(C=C5C5=C4C4=CC6=C7C(=CC=C8C9=C%10C%11=C(C=C9)C(=O)N(C(CCCCC)CCCCC)C(=O)C%11=CC5=C%10C4=C87)C(=O)N(C(CCCCC)CCCCC)C6=O)C(=O)N(C(CCCCC)CCCCC)C(=O)C3=C1)C=C2,6.82
102,CCCCC(CC)CC1(CC(CC)CCCC)C2=C(SC(/C=C3\C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)=C2)C2=C1C=C(C1=CC=C(C3=CC4=C(S3)C3=C(C=C(/C=C5\C(=O)C6=C(C=C(Cl)C(Cl)=C6)C5=C(C#N)C#N)S3)C4(CC(CC)CCCC)CC(CC)CCCC)C3=NSN=C13)S2,8.65
103,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CN=C(C4=CC5=C(C6=C(C5(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)C=C(C9=C%10C=C(C%11=NC=C(/C=C%12C(C(C=CC=C%13)=C%13C\%12=C(C#N)/C#N)=O)S%11)S9)C(C%10(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C6)S4)S3,8.52
104,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(C2=C5OCCOC5=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S2)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(C3=C4OCCOC4=C(/C=C4\C(=O)C5=C(C=C(F)C(F)=C5)C4=C(C#N)C#N)S3)=C2)C=C1,10.4
105,CCCCCCCCN1N=C2C(/C=C3/SC(=S)N(CC)C3=O)=CC=C(C3=CC4=C(C=C3)C3=C(C=C(C5=CC=C(/C=C6/SC(=S)N(CC)C6=O)C6=NN(CCCCCCCC)N=C56)C=C3)C43C4=C(C=CC=C4)C4=C3C=CC=C4)C2=N1,3.28
106,CCCCCCC1=C(C2=CC3=C(C=C2)N(CC(CCCC)CCCCCC)C2=CC4=C(C=C2C3=C(C#N)C#N)N(CC(CCCC)CCCCCC)C2=CC=C(C3=C(CCCCCC)C=C(/C=C5/SC(=S)N(CC)C5=O)S3)C=C2C4=C(C#N)C#N)SC(/C=C2\SC(=S)N(CC)C2=O)=C1,2.66
107,CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CCCCCCCC)C2=C1C1=NSN=C1C1=C2N(CCCCCCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,10.38
108,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C5=CC6=C(C=C5C4(CCCCCCCC)CCCCCCCC)C7=CC8=C(C(SC(/C=C9C(C(C=CC=C%10)=C%10C\9=C(C#N)\C#N)=O)=C%11)=C%11C8(CCCCCCCC)CCCCCCCC)C=C7C6(CCCCCC)CCCCCC,11.12
109,CCCCC(CC)CC1(CC(CC)CCCC)C2=C(C=CC(C3=CC=C(/C=C4\C(=O)C5=CC=CC=C5C4=C(C#N)C#N)S3)=C2)C2=C1C1=C(C=C(C3=CC=C(/C=C4\C(=O)C5=CC(F)=CC=C5C4=C(C#N)C#N)S3)C=C1)C2(CC(CC)CCCC)CC(CC)CCCC,10.05
110,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C(S3)=CC4=C3C5=C(C4(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)C8=CC9=C(C(C(C%10=CC=C(CCCCCC)C=C%10)(C%11=CC=C(CCCCCC)C=C%11)C%12=C%13SC(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)/C#N)=O)=C%12)=C%13S9)C=C8S5,10.9
111,CCCCCCCCC(CCCCCC)CN1C2=C(C=CC(C3=CC=C(/C=C4\SC(=S)N(CC)C4=O)C4=NSN=C34)=C2)C2=C1C=C(C1=CC=C(/C=C3\SC(=S)N(CC)C3=O)C3=NSN=C13)C=C2,3.3
112,O=C(C(C=C(Cl)C(Cl)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(C4(CCCCCCCC)CCCCCCCC)=C(S3)C5=C4C=C(C(C=C(C(CCCCCCCC)(CCCCCCCC)C6=C7SC(/C=C8C(C(C=C(Cl)C(Cl)=C9)=C9C\8=C(C#N)\C#N)=O)=C6)C7=C%10)=C%10C%11(CCCCCCCC)CCCCCCCC)C%11=C5,9.89
113,O=C(C(C=C(Cl)C(Cl)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC4=C(S3)C5=C(C6=C(C5(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)C=C(C9=C%10C(SC(/C=C%11C(C(C=C(Cl)C(Cl)=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C%13)=C%13[Se]9)C(C%10(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C6)[Se]4,13.32
114,CCCCCCCCC1(CCCCCCCC)C2=C(C=C3C(=C2)C2=C(C=C(/C=C4\C(=O)C5=CC=CC=C5C4=C(C#N)C#N)S2)C3(CCCCCC)CCCCCC)C2=C1C=C1C(=C2)C(CCCCCC)(CCCCCC)C2=C1SC(/C=C1\C(=O)C3=C(C=CC=C3)C1=C(C#N)C#N)=C2,9.18
115,CCCCCCCCN1N=C2C(/C=C3\SC(=C(C#N)C#N)N(CC)C3=O)=CC=C(C3=CC4=C(S3)C3=CC5=C(C=C3C4(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C3=C(C=C(C4=CC=C(/C=C6/SC(=C(C#N)C#N)N(CC)C6=O)C6=NN(CCCCCCCC)N=C46)S3)C5(C3=CC=C(CCCCCC)C=C3)C3=CC=C(CCCCCC)C=C3)C2=N1,8.1
116,CCCCCCCCC1(CCCCCCCC)C2=CC3=C(C=C2C2=C1C=C1C(=C2)C(CCCCCCCC)(CCCCCCCC)C2=C1SC(/C=C1\C(=O)C4=C(C=CC=C4)C1=C(C#N)C#N)=C2)C(CCCCCCCC)(CCCCCCCC)C1=C3C=C2C(=C1)C1=C(C=C(/C=C3\C(=O)C4=C(C=CC=C4)C3=C(C#N)C#N)S1)C2(CCCCCCCC)CCCCCCCC,8.57
117,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=C(CCCCCC)C4=C(S3)C5=C(C6=CC(C7(C8=CC=C(CCCCCC)C=C8)C9=CC=C(CCCCCC)C=C9)=C(C%10=C7C(SC(/C=C%11C(C(C=CC=C%12)=C%12C\%11=C(C#N)\C#N)=O)=C%13CCCCCC)=C%13S%10)C=C6C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)S4,10.87
