,SMILES,PCE
0,CCCCCCCCC1=C(C2=C(F)C(F)=C(C3=C(CCCCCCCC)C(F)=C(C4=C(CCCCCCCC)C(F)=C(C=C(C#N)C#N)S4)S3)S2)SC(C2=C(CCCCCCCC)C(F)=C(C=C(C#N)C#N)S2)=C1F,4.3
1,CCCCCCC1=CC(C2=CC3=C(S2)C2=C(C=C(/C=C4\C(=O)C5=CC=CC=C5C4=C(C#N)C#N)S2)C3(CC(CC)CCCC)CC(CC)CCCC)=C(CCCCCC)C=C1C1=CC2=C(S1)C1=C(C=C(/C=C3\C(=O)C4=CC=CC=C4C3=C(C#N)C#N)S1)C2(CC(CC)CCCC)CC(CC)CCCC,6.87
2,CCCCCCC(CCCCCC)N1C(=O)C2=CC=C3C4=C(C=CC(=C24)C1=O)C1=C2C4=C(C=C1)C(=O)N(C(CCCCCC)CCCCCC)C(=O)C4=CC(C1=CC=C4C(=C1)C1(C5=CC=CC=C5C5=CC=CC=C51)C1=C4C=CC(C4=CC5=C6C(=CC=C7C8=CC=C9C(=O)N(C(CCCCCC)CCCCCC)C(=O)C%10=C9C8=C(C=C%10)C4=C76)C(=O)N(C(CCCCCC)CCCCCC)C5=O)=C1)=C32,9.5
3,CCCCC(CC)CC1(CC(CC)CCCC)C2=C(SC(C3=CC(F)=C(C4=CC5=C(S4)C4=C(C=C(C6=CC=C(/C=C7\SC(=S)N(CC)C7=O)C7=NSN=C67)S4)C5(CC(CC)CCCC)CC(CC)CCCC)C=C3F)=C2)C2=C1C=C(C1=CC=C(/C=C3\SC(=S)N(CC)C3O)C3=NSN=C13)S2,5.34
4,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(/C=C2\SC(SCC)=NC2=O)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(/C=C3\SC(SCC)=NC3=O)=C2)C=C1,0.29
5,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)\C#N)C2=C/C(S3)=CC4=C3C5=C(N4CCCCCCCC)C6=C(C7=CC(C8(C9=CC=C(CCCCCC)C=C9)C%10=CC=C(CCCCCC)C=C%10)=C(C%11=C8C(N(CCCCCCCC)C%12=C%13SC(/C=C%14C(C(C=C(F)C(F)=C%15)=C%15C\%14=C(C#N)/C#N)=O)=C%12)=C%13S%11)C=C7C6(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)S5,13.13
6,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C(SC6=C7SC8=C6OC(C9=CC=C(CCCCCC)C=C9)(C%10=CC=C(CCCCCC)C=C%10)C%11=C8SC%12=C%11SC(/C=C%13C(C(C=C(F)C(F)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%12)=C7OC5(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16,12.16
7,CCCCC(CC)CC1(CC(CC)CCCC)C2=CC3=C(C=C2C2=C1C=C(C1=CC=C(/C=C4\C(=O)C5=C(C=C(F)C(F)=C5)C4=C(C#N)C#N)[Se]1)S2)C(CC(CC)CCCC)(CC(CC)CCCC)C1=C3SC(C2=CC=C(/C=C3\C(=O)C4=C(C=C(F)C=C4)C3=C(C#N)C#N)[Se]2)=C1,10.0
8,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C2=C(C=C(/C=C5\C(=O)C6=C(C=CC=C6)C5=C(C#N)C#N)S2)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC3=C2SC(/C=C2\C(=O)C4=C(C=CC(C)=C4)C2=C(C#N)C#N)=C3)C=C1,10.81
9,CCC(CC)N1C(=O)C2=CC=C(C3=CC=C(C4=C5C(=O)N(C(CC)CC)C(=O)C6=CC(C7=CC=C(C8=CC9C(=O)N(C(CC)CC)C(=O)C9C=C8)S7)=C7C(=O)N(C(CC)CC)C(=O)C(=C4)C7=C65)S3)C=C2C1=O,0.056
