,SMILES,PCE
0,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC=C(C4=CC5=C(C=C4)C(C=CC(C6=CC=C(/C=C7C(C(C=CC=C8)=C8C\7=C(C#N)/C#N)=O)S6)=C9)=C9C5(CCCCCCCC)CCCCCCCC)S3,7.93
1,CCCCCCCCC1(CCCCCCCC)C2=CC3=C(C=C2C2=C1C=C1C(=C2)C(CCCCCCCC)(CCCCCCCC)C2=C1SC(/C=C1\C(=O)C4=C(C=CC=C4)C1=C(C#N)C#N)=C2)C(CCCCCCCC)(CCCCCCCC)C1=C3C=C2C(=C1)C1=C(C=C(/C=C3\C(=O)C4=C(C=CC=C4)C3=C(C#N)C#N)S1)C2(CCCCCCCC)CCCCCCCC,5.9
2,CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,16.061
3,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(C2=CC=C(/C=C5/SC(=S)N(CC)C5=O)C5=NSN=C25)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(C3=CC=C(/C=C4/SC(=S)N(CC)C4=O)C4=NSN=C34)=C2)C=C1,8.2
4,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(C2=C5C(F)=C(C(=O)OCC(CC)CCCC)SC5=C(/C=C5\C(=O)C6=C(C=C(F)C=C6)C5=C(C#N)C#N)S2)O3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(C3=C4C(F)=C(C(=O)OCC(CC)CCCC)SC4=C(/C=C4\C(=O)C5=C(C=C(F)C=C5)C4=C(C#N)C#N)S3)=C2)C=C1,7.01
5,CCCCCCC1=CC=C(C2(C3=CC=C(C)C=C3)C3=C(SC(/C=C4\C(=O)C5=C(C=CC=C5)C4=C(C#N)C#N)=C3)C3=C2C2=CC4=C(C=C2S3)C2=C(S4)C3=C(C=C(/C=C4\C(=O)C5=C(C=CC=C5)C4=C(C#N)C#N)S3)C2(C2=CC=C(CCCCCC)C=C2)C2=CC(CCCCCC)=CC=C2)C=C1,8.32
6,CCCCC(CC)CC1(CC(CC)CCCC)C2=C(SC(/C=C3\C(=O)C4=CC(F)=C(F)C=C4C3=C(C#N)C#N)=C2)C2=C1C=C(C1=C(C)/C(=C(\C3=CC=CC=C3)C3=C(C)C(C4=CC5=C(S4)C4=C(C=C(/C=C6\C(=O)C7=CC(F)=C(F)C=C7C6=C(C#N)C#N)S4)C5(CC(CC)CCCC)CC(CC)CCCC)=C(C)N3B(F)F)N=C1C)S2,9.22
7,C#C/C=C/C(CCCCCC)CN1C(=O)C2=C(C3=CC=C(C4=CC5=C(S4)C4=C(C=C(C6=CC=C(C7=C8C(=O)N(CC(CCCC)CCCCCC)C(C9=CC=C(C=C(C#N)C#N)S9)=C8C(=O)N7CC(CCCC)CCCCCC)S6)S4)C54C5=C(SC(C6=CC=C(C7=C8C(=O)N(CC(CCCC)CCCCCC)C(C9=CC=C(C=C(C#N)C#N)S9)=C8C(=O)N7CC(CCCC)CCCCCC)S6)=C5)C5=C4C=C(C4=CC=C(C6=C7C(=O)N(CC(CCCC)CCCCCC)C(C8=CC=C(C=C(C#N)C#N)S8)=C7C(=O)N6CC(CCCC)CCCCCC)S4)S5)S3)N(CC(CCCC)CCCCCC)C(=O)C2=C1C1=CC=C(C=C(C#N)C#N)S1,4.2
8,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(/C=C2\C(=O)C5=CC=C(C6=CC=CS6)C=C5C2=C(C#N)C#N)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(/C=C3\C(=O)C4=C(C=CC(C5=CC=CS5)=C4)C3=C(C#N)C#N)=C2)C=C1,9.3
9,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(N(C(CCCCCCCC)CCCCCCCC)C4=C5SC6=C4SC7=C6N(C(CCCCCCCC)CCCCCCCC)C8=C7SC(/C=C9C(C(C=CC=C%10)=C%10C\9=C(C#N)\C#N)=O)=C8)=C5S3,9.6
10,CCCCC(CC)CC1(CC(CC)CCCC)C2=C(SC(/C=C3\C(=O)C4=CC5=CC(F)=C(F)C=C5C=C4C3=C(C#N)C#N)=C2)C2=C1C=C(C1=C(F)C(F)=C(C3=CC4=C(S3)C3=C(C=C(/C=C5\C(=O)C6=CC7=CC(F)=C(F)C=C7C=C6C5=C(C#N)C#N)S3)C4(CC(CC)CCCC)CC(CC)CCCC)C(F)=C1)S2,9.09
11,CCCCCCCCOC1=CC(C2=CC3=C(S2)C2=C(C=C(/C=C4\C(=O)C5=C(C=CC=C5)C4=C(C#N)C#N)S2)C3(CC(CC)CCCC)CC(CC)CCCC)=C(OCCCCCCCC)C=C1C1=CC2=C(S1)C1=C(C=C(/C=C3\C(=O)C4=C(C=CC=C4)C3=C(C#N)C#N)S1)C2(CC(CC)CCCC)CC(CC)CCCC,9.41
